site_id,bit_index,result
11,0,SDC
12,0,SDC
12,1,SDC
12,2,SDC
12,3,SDC
12,4,SDC
12,5,SDC
12,6,SDC
12,7,SDC
12,8,SDC
12,9,SDC
12,10,SDC
12,11,SDC
12,12,SDC
12,13,SDC
12,14,SDC
12,15,SDC
12,16,SDC
12,17,SDC
12,18,SDC
12,19,SDC
12,20,SDC
12,21,SDC
12,22,SDC
12,23,SDC
12,24,SDC
12,25,SDC
12,26,SDC
12,27,SDC
12,28,SDC
12,29,SDC
12,30,SDC
12,31,SDC
13,0,SDC
13,1,SDC
13,2,SDC
13,3,SDC
13,4,SDC
13,5,SDC
13,6,SDC
13,7,SDC
13,8,SDC
13,9,SDC
13,10,SDC
13,11,SDC
13,12,SDC
13,13,SDC
13,14,SDC
13,15,SDC
13,16,SDC
13,17,SDC
13,18,SDC
13,19,SDC
13,20,SDC
13,21,SDC
13,22,SDC
13,23,SDC
13,24,SDC
13,25,SDC
13,26,SDC
13,27,SDC
13,28,SDC
13,29,SDC
13,30,SDC
13,31,SDC
14,0,SDC
14,1,SDC
14,2,SDC
14,3,SDC
14,4,SDC
14,5,SDC
14,6,SDC
14,7,SDC
14,8,SDC
14,9,SDC
14,10,SDC
14,11,SDC
14,12,SDC
14,13,SDC
14,14,SDC
14,15,SDC
14,16,SDC
14,17,SDC
14,18,SDC
14,19,SDC
14,20,SDC
14,21,SDC
14,22,SDC
14,23,SDC
14,24,SDC
14,25,SDC
14,26,SDC
14,27,SDC
14,28,SDC
14,29,SDC
14,30,SDC
14,31,SDC
15,0,SDC
15,1,SDC
15,2,SDC
15,3,SDC
15,4,SDC
15,5,SDC
15,6,SDC
15,7,SDC
15,8,SDC
15,9,SDC
15,10,SDC
15,11,SDC
15,12,SDC
15,13,SDC
15,14,SDC
15,15,SDC
15,16,SDC
15,17,SDC
15,18,SDC
15,19,SDC
15,20,SDC
15,21,SDC
15,22,SDC
15,23,SDC
15,24,SDC
15,25,SDC
15,26,SDC
15,27,SDC
15,28,SDC
15,29,SDC
15,30,SDC
15,31,SDC
16,0,SDC
16,1,SDC
16,2,SDC
16,3,SDC
16,4,SDC
16,5,SDC
16,6,SDC
16,7,SDC
16,8,SDC
16,9,SDC
16,10,SDC
16,11,SDC
16,12,SDC
16,13,SDC
16,14,SDC
16,15,SDC
16,16,SDC
16,17,SDC
16,18,SDC
16,19,SDC
16,20,SDC
16,21,SDC
16,22,SDC
16,23,SDC
16,24,SDC
16,25,SDC
16,26,SDC
16,27,SDC
16,28,SDC
16,29,SDC
16,30,SDC
16,31,SDC
17,0,SDC
17,1,SDC
17,2,SDC
17,3,SDC
17,4,SDC
17,5,SDC
17,6,SDC
17,7,SDC
17,8,SDC
17,9,SDC
17,10,SDC
17,11,SDC
17,12,SDC
17,13,SDC
17,14,SDC
17,15,SDC
17,16,SDC
17,17,SDC
17,18,SDC
17,19,SDC
17,20,SDC
17,21,SDC
17,22,SDC
17,23,SDC
17,24,SDC
17,25,SDC
17,26,SDC
17,27,SDC
17,28,SDC
17,29,SDC
17,30,SDC
17,31,SDC
18,0,SDC
18,1,SDC
18,2,SDC
18,3,SDC
18,4,SDC
18,5,SDC
18,6,SDC
18,7,SDC
18,8,SDC
18,9,SDC
18,10,SDC
18,11,SDC
18,12,SDC
18,13,SDC
18,14,SDC
18,15,SDC
18,16,SDC
18,17,SDC
18,18,SDC
18,19,SDC
18,20,SDC
18,21,SDC
18,22,SDC
18,23,SDC
18,24,SDC
18,25,SDC
18,26,SDC
18,27,SDC
18,28,SDC
18,29,SDC
18,30,SDC
18,31,SDC
19,0,SDC
19,1,SDC
19,2,SDC
19,3,SDC
19,4,SDC
19,5,SDC
19,6,SDC
19,7,SDC
19,8,SDC
19,9,SDC
19,10,SDC
19,11,SDC
19,12,SDC
19,13,SDC
19,14,SDC
19,15,SDC
19,16,SDC
19,17,SDC
19,18,SDC
19,19,SDC
19,20,SDC
19,21,SDC
19,22,SDC
19,23,SDC
19,24,SDC
19,25,SDC
19,26,SDC
19,27,SDC
19,28,SDC
19,29,SDC
19,30,SDC
19,31,SDC
21,0,SDC
21,1,SDC
21,2,SDC
21,3,SDC
21,4,SDC
21,5,SDC
21,6,SDC
21,7,SDC
21,8,SDC
21,9,SDC
21,10,SDC
21,11,SDC
21,12,SDC
21,13,SDC
21,14,SDC
21,15,SDC
21,16,SDC
21,17,SDC
21,18,SDC
21,19,SDC
21,20,SDC
21,21,SDC
21,22,SDC
21,23,SDC
21,24,SDC
21,25,SDC
21,26,SDC
21,27,SDC
21,28,SDC
21,29,SDC
21,30,SDC
21,31,SDC
22,0,SDC
22,1,SDC
22,2,SDC
22,3,SDC
22,4,SDC
22,5,SDC
22,6,SDC
22,7,SDC
22,8,SDC
22,9,SDC
22,10,SDC
22,11,SDC
22,12,SDC
22,13,SDC
22,14,SDC
22,15,SDC
22,16,SDC
22,17,SDC
22,18,SDC
22,19,MASKED
22,20,MASKED
22,21,MASKED
22,22,MASKED
22,23,MASKED
22,24,MASKED
22,25,MASKED
22,26,MASKED
22,27,MASKED
22,28,MASKED
22,29,MASKED
22,30,MASKED
22,31,MASKED
23,0,SDC
23,1,SDC
23,2,SDC
23,3,SDC
23,4,SDC
23,5,SDC
23,6,SDC
23,7,SDC
23,8,SDC
23,9,SDC
23,10,SDC
23,11,SDC
23,12,SDC
23,13,SDC
23,14,SDC
23,15,SDC
23,16,SDC
23,17,SDC
23,18,SDC
23,19,SDC
23,20,SDC
23,21,SDC
23,22,SDC
23,23,SDC
23,24,SDC
23,25,SDC
23,26,SDC
23,27,SDC
23,28,SDC
23,29,SDC
23,30,SDC
23,31,SDC
24,0,SDC
24,1,SDC
24,2,SDC
24,3,SDC
24,4,SDC
24,5,SDC
24,6,SDC
24,7,SDC
24,8,SDC
