worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,actual_result,exit_code,matches_expected,stdout,stderr
39,randomAccess,68,0,all_three_or_pairwise_anchor,SDC,68,243,144,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site68_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site68_bit0.err
40,randomAccess,68,1,all_three_or_pairwise_anchor,SDC,68,243,144,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site68_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site68_bit1.err
41,randomAccess,70,63,all_three_or_pairwise_anchor,SDC,70,247,146,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site70_bit63.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site70_bit63.err
42,randomAccess,73,0,all_three_or_pairwise_anchor,SDC,73,253,149,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site73_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site73_bit0.err
43,randomAccess,73,1,all_three_or_pairwise_anchor,SDC,73,253,149,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site73_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site73_bit1.err
44,randomAccess,69,0,all_three_or_pairwise_anchor,SDC,69,245,145,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site69_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site69_bit0.err
45,randomAccess,69,1,all_three_or_pairwise_anchor,SDC,69,245,145,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site69_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site69_bit1.err
46,randomAccess,74,0,all_three_or_pairwise_anchor,SDC,74,255,150,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site74_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site74_bit0.err
47,randomAccess,74,1,all_three_or_pairwise_anchor,SDC,74,255,150,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site74_bit1.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site74_bit1.err
48,randomAccess,14,0,all_three_or_pairwise_anchor,SDC,14,129,90,SDC,,MASKED,family_full,,PASS,SDC,1,true,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site14_bit0.out,/home/mdunlavy/GPU_FI/divergence_cases/full_trace_results/polaris_nvidia_TRACE029_rerun_20260722T005959Z/randomAccess/site14_bit0.err
