site_id,opcode,type_kind,bitwidth,operand_index,function
160,load,int,32,-1,_Z12computeColorffPh
161,sext,int,64,-1,_Z12computeColorffPh
162,load,int,32,-1,_Z12computeColorffPh
163,sitofp,float,32,-1,_Z12computeColorffPh
164,call,float,32,-1,_Z12computeColorffPh
165,load,float,32,-1,_Z12computeColorffPh
166,fsub,float,32,-1,_Z12computeColorffPh
167,load,float,32,-1,_Z12computeColorffPh
168,fmul,float,32,-1,_Z12computeColorffPh
169,load,float,32,-1,_Z12computeColorffPh
170,load,float,32,-1,_Z12computeColorffPh
171,fmul,float,32,-1,_Z12computeColorffPh
172,fadd,float,32,-1,_Z12computeColorffPh
173,load,float,32,-1,_Z12computeColorffPh
174,fcmp,int,1,-1,_Z12computeColorffPh
175,load,float,32,-1,_Z12computeColorffPh
176,load,float,32,-1,_Z12computeColorffPh
177,fsub,float,32,-1,_Z12computeColorffPh
178,fmul,float,32,-1,_Z12computeColorffPh
179,fsub,float,32,-1,_Z12computeColorffPh
180,load,float,32,-1,_Z12computeColorffPh
181,fmul,float,32,-1,_Z12computeColorffPh
182,load,float,32,-1,_Z12computeColorffPh
183,fmul,float,32,-1,_Z12computeColorffPh
184,fptosi,int,32,-1,_Z12computeColorffPh
185,trunc,int,8,-1,_Z12computeColorffPh
186,load,int,32,-1,_Z12computeColorffPh
187,sub,int,32,-1,_Z12computeColorffPh
188,sext,int,64,-1,_Z12computeColorffPh
189,load,int,32,-1,_Z12computeColorffPh
190,add,int,32,-1,_Z12computeColorffPh
191,load,int,32,-1,_ZN4sycl3_V16detail5arrayILi2EEixEi
192,load,int,32,-1,_ZN4sycl3_V16detail5arrayILi2EEixEi
193,sext,int,64,-1,_ZN4sycl3_V16detail5arrayILi2EEixEi
194,call,int,64,-1,_ZN7__spirv29InitSizesSTGlobalInvocationIdILi2EN4sycl3_V12idILi2EEEE8initSizeEv
195,call,int,64,-1,_ZN7__spirv29InitSizesSTGlobalInvocationIdILi2EN4sycl3_V12idILi2EEEE8initSizeEv
196,call,int,64,-1,_ZN7__spirv21getGlobalInvocationIdILi1EEEmv
197,call,int,64,-1,_ZN7__spirv21getGlobalInvocationIdILi0EEEmv
198,load,int,64,-1,_ZN4sycl3_V12idILi2EEC2ILi2EEENSt9enable_ifIXeqT_Li2EEmE4typeEm
199,load,int,64,-1,_ZN4sycl3_V12idILi2EEC2ILi2EEENSt9enable_ifIXeqT_Li2EEmE4typeEm
200,extractelement,int,64,-1,_Z28__spirv_GlobalInvocationId_yv
201,extractelement,int,64,-1,_Z28__spirv_GlobalInvocationId_xv
202,load,int,64,-1,_ZN4sycl3_V16detail5arrayILi2EEC2ILi2EEENSt9enable_ifIXeqT_Li2EEmE4typeEm
203,load,int,64,-1,_ZN4sycl3_V16detail5arrayILi2EEC2ILi2EEENSt9enable_ifIXeqT_Li2EEmE4typeEm
204,load,int,32,-1,_Z7setcolsPA3_iiiii
205,load,int,32,-1,_Z7setcolsPA3_iiiii
206,sext,int,64,-1,_Z7setcolsPA3_iiiii
207,load,int,32,-1,_Z7setcolsPA3_iiiii
208,load,int,32,-1,_Z7setcolsPA3_iiiii
209,sext,int,64,-1,_Z7setcolsPA3_iiiii
210,load,int,32,-1,_Z7setcolsPA3_iiiii
211,load,int,32,-1,_Z7setcolsPA3_iiiii
212,sext,int,64,-1,_Z7setcolsPA3_iiiii
213,call,float,32,-1,_ZN4sycl3_V14sqrtEf
214,call,float,32,-1,_ZN4sycl3_V14sqrtEf
215,load,float,32,-1,_ZN4sycl3_V15atan2Eff
216,load,float,32,-1,_ZN4sycl3_V15atan2Eff
217,call,float,32,-1,_ZN4sycl3_V15atan2Eff
218,load,float,32,-1,_ZN4sycl3_V16detail14maybe_fmf_sqrtIfEEDcT_
219,call,float,32,-1,_ZN4sycl3_V16detail14maybe_fmf_sqrtIfEEDcT_
220,call,float,32,-1,_ZN4sycl3_V16detail8builtins11convert_argIRfEEDaOT_
221,load,float,32,-1,_ZN4sycl3_V16detail19convertToOpenCLTypeIRfEEDaOT_
222,call,int,64,-1,_ZN7__spirv21InitSizesSTGlobalSizeILi2EN4sycl3_V15rangeILi2EEEE8initSizeEv
223,call,int,64,-1,_ZN7__spirv21InitSizesSTGlobalSizeILi2EN4sycl3_V15rangeILi2EEEE8initSizeEv
224,call,int,64,-1,_ZN7__spirv13getGlobalSizeILi1EEEmv
225,call,int,64,-1,_ZN7__spirv13getGlobalSizeILi0EEEmv
226,load,int,64,-1,_ZN4sycl3_V15rangeILi2EEC2ILi2EEENSt9enable_ifIXeqT_Li2EEmE4typeEm
227,load,int,64,-1,_ZN4sycl3_V15rangeILi2EEC2ILi2EEENSt9enable_ifIXeqT_Li2EEmE4typeEm
228,extractelement,int,64,-1,_Z20__spirv_GlobalSize_yv
229,extractelement,int,64,-1,_Z20__spirv_GlobalSize_xv
230,call,int,64,-1,_ZN7__spirv24InitSizesSTWorkgroupSizeILi2EN4sycl3_V15rangeILi2EEEE8initSizeEv
231,call,int,64,-1,_ZN7__spirv24InitSizesSTWorkgroupSizeILi2EN4sycl3_V15rangeILi2EEEE8initSizeEv
232,call,int,64,-1,_ZN7__spirv16getWorkgroupSizeILi1EEEmv
233,call,int,64,-1,_ZN7__spirv16getWorkgroupSizeILi0EEEmv
234,extractelement,int,64,-1,_Z23__spirv_WorkgroupSize_yv
235,extractelement,int,64,-1,_Z23__spirv_WorkgroupSize_xv
236,call,int,64,-1,_ZN7__spirv24InitSizesSTNumWorkgroupsILi2EN4sycl3_V15rangeILi2EEEE8initSizeEv
237,call,int,64,-1,_ZN7__spirv24InitSizesSTNumWorkgroupsILi2EN4sycl3_V15rangeILi2EEEE8initSizeEv
238,call,int,64,-1,_ZN7__spirv16getNumWorkgroupsILi1EEEmv
239,call,int,64,-1,_ZN7__spirv16getNumWorkgroupsILi0EEEmv
240,extractelement,int,64,-1,_Z23__spirv_NumWorkgroups_yv
241,extractelement,int,64,-1,_Z23__spirv_NumWorkgroups_xv
242,call,int,64,-1,_ZN7__spirv22InitSizesSTWorkgroupIdILi2EN4sycl3_V12idILi2EEEE8initSizeEv
243,call,int,64,-1,_ZN7__spirv22InitSizesSTWorkgroupIdILi2EN4sycl3_V12idILi2EEEE8initSizeEv
244,call,int,64,-1,_ZN7__spirv14getWorkgroupIdILi1EEEmv
245,call,int,64,-1,_ZN7__spirv14getWorkgroupIdILi0EEEmv
246,extractelement,int,64,-1,_Z21__spirv_WorkgroupId_yv
247,extractelement,int,64,-1,_Z21__spirv_WorkgroupId_xv
248,call,int,64,-1,_ZN7__spirv28InitSizesSTLocalInvocationIdILi2EN4sycl3_V12idILi2EEEE8initSizeEv
249,call,int,64,-1,_ZN7__spirv28InitSizesSTLocalInvocationIdILi2EN4sycl3_V12idILi2EEEE8initSizeEv
250,call,int,64,-1,_ZN7__spirv20getLocalInvocationIdILi1EEEmv
251,call,int,64,-1,_ZN7__spirv20getLocalInvocationIdILi0EEEmv
252,extractelement,int,64,-1,_Z27__spirv_LocalInvocationId_yv
253,extractelement,int,64,-1,_Z27__spirv_LocalInvocationId_xv
254,call,int,64,-1,_ZN7__spirv23InitSizesSTGlobalOffsetILi2EN4sycl3_V12idILi2EEEE8initSizeEv
255,call,int,64,-1,_ZN7__spirv23InitSizesSTGlobalOffsetILi2EN4sycl3_V12idILi2EEEE8initSizeEv
256,call,int,64,-1,_ZN7__spirv15getGlobalOffsetILi1EEEmv
257,call,int,64,-1,_ZN7__spirv15getGlobalOffsetILi0EEEmv
258,extractelement,int,64,-1,_Z22__spirv_GlobalOffset_yv
259,extractelement,int,64,-1,_Z22__spirv_GlobalOffset_xv
