worklist_id,bench,site_id,bit_index,comparison,expected_original_result,nvidia_site_id,amd_site_id,intel_site_id,nvidia_result,amd_result,intel_result,match_tier,notes,baseline_status,rerun_status,rerun_result,rerun_exit_code,matches_original_nvidia_result,comparison_status,results_path,pbs_job_id,campaign_commit
47,randomAccess,74,1,all_three_or_pairwise_anchor,SDC,74,255,150,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
48,randomAccess,14,0,all_three_or_pairwise_anchor,SDC,14,129,90,SDC,,MASKED,family_full,,PASS,COMPLETED,SDC,1,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
49,pathfinder,137,3,nvidia_vs_intel,MASKED,137,395,153,MASKED,,SDC,source_text_type_family,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
50,pathfinder,137,17,nvidia_vs_intel,MASKED,137,395,153,MASKED,,SDC,source_text_type_family,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
51,pathfinder,116,3,nvidia_vs_intel,SDC,116,350,132,SDC,,MASKED,source_text_type_family,,PASS,COMPLETED,MASKED,0,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
52,pathfinder,116,17,nvidia_vs_intel,SDC,116,350,132,SDC,,MASKED,source_text_type_family,,PASS,COMPLETED,MASKED,0,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
53,pathfinder,9,3,nvidia_vs_intel,MASKED,9,123,25,MASKED,,SDC,source_text_type_family,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
54,pathfinder,9,31,nvidia_vs_intel,MASKED,9,123,25,MASKED,,SDC,source_text_type_family,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
55,pathfinder,64,3,nvidia_vs_intel,MASKED,64,240,80,MASKED,,SDC,source_context_type_family,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
56,pathfinder,64,17,nvidia_vs_intel,MASKED,64,240,80,MASKED,,SDC,source_context_type_family,,PASS,COMPLETED,MASKED,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
57,pathfinder,53,3,nvidia_vs_intel,SDC,53,217,69,SDC,,MASKED,source_context_type_family,,PASS,COMPLETED,MASKED,0,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
58,pathfinder,53,17,nvidia_vs_intel,SDC,53,217,69,SDC,,MASKED,source_context_type_family,,PASS,COMPLETED,MASKED,0,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
59,pathfinder,56,62,nvidia_vs_intel,SDC,56,224,72,SDC,,MASKED,source_context_type_family,,PASS,COMPLETED,MASKED,0,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
60,pathfinder,56,63,nvidia_vs_intel,SDC,56,224,72,SDC,,MASKED,source_context_type_family,,PASS,COMPLETED,MASKED,0,false,MISMATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
61,dense-embedding,114,9,nvidia_vs_amd,SDC,114,362,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
62,dense-embedding,114,16,nvidia_vs_amd,SDC,114,362,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
63,dense-embedding,126,9,nvidia_vs_amd,SDC,126,390,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
64,dense-embedding,126,16,nvidia_vs_amd,SDC,126,390,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
65,dense-embedding,124,9,nvidia_vs_amd,SDC,124,385,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
66,dense-embedding,124,63,nvidia_vs_amd,SDC,124,385,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
67,dense-embedding,132,23,nvidia_vs_amd,SDC,132,404,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
68,dense-embedding,132,18,nvidia_vs_amd,SDC,132,404,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
69,dense-embedding,122,9,nvidia_vs_amd,SDC,122,381,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
70,dense-embedding,122,23,nvidia_vs_amd,SDC,122,381,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
71,dense-embedding,117,9,nvidia_vs_amd,SDC,117,369,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
72,dense-embedding,117,23,nvidia_vs_amd,SDC,117,369,,SDC,DUE,,pairwise_normalized_metadata,,PASS,COMPLETED,SDC,0,true,MATCH,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_dense_results2_20260717_204656,7261006.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,8d4615726
73,entropy,156,17,intel_vs_amd,,156,443,226,,DUE,MASKED,source_context_type_family,,PASS,COMPLETED,DUE,0,,ORIGINAL_OUTCOME_MISSING,/home/mdunlavy/GPU_FI/divergence_analysis_outputs/nvidia_rerun_results_20260717_193944,7260877.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,136d0779e99889ca2709d27ae7f42d81cf57238a
