site_id,opcode,site_class,type_kind,bitwidth,operand_index
573,load,int,int,32,-1
574,load,pointer,pointer,64,0
575,load,pointer,pointer,64,-1
576,load,pointer,pointer,64,0
577,load,int,int,32,-1
578,load,pointer,pointer,64,0
579,zext,int,int,64,-1
580,zext,operand,int,32,0
581,getelementptr,pointer,pointer,64,-1
582,getelementptr,pointer,pointer,64,0
583,getelementptr,operand,int,64,1
584,store,operand,int,32,0
585,store,pointer,pointer,64,1
586,switch,operand,int,32,0
587,switch,operand,int,32,2
588,switch,operand,int,32,4
589,switch,operand,int,32,6
590,call,int,int,32,-1
591,call,pointer,pointer,64,0
592,call,int,int,32,-1
593,call,pointer,pointer,64,0
594,call,int,int,32,-1
595,call,pointer,pointer,64,0
596,phi,int,int,32,-1
597,phi,operand,int,32,0
598,phi,operand,int,32,1
599,phi,operand,int,32,2
600,phi,operand,int,32,3
601,zext,int,int,64,-1
602,zext,operand,int,32,0
603,ret,operand,int,64,0
604,call,operand,int,32,0
605,call,operand,int,64,1
606,call,operand,int,64,2
607,call,operand,int,64,3
608,call,operand,int,64,4
609,call,operand,int,64,5
610,call,operand,int,64,6
611,call,operand,int,64,7
612,call,operand,int,64,8
613,call,pointer,pointer,64,9
614,extractelement,int,int,64,-1
615,extractelement,operand,int,64,1
616,ret,operand,int,64,0
617,load,int,int,32,-1
618,load,pointer,pointer,64,0
619,icmp,int,int,1,-1
620,icmp,operand,int,32,0
621,icmp,operand,int,32,1
622,call,pointer,pointer,64,-1
623,call,pointer,pointer,64,0
624,select,int,int,64,-1
625,select,operand,int,1,0
626,select,operand,int,64,1
627,select,operand,int,64,2
628,getelementptr,pointer,pointer,64,-1
629,getelementptr,pointer,pointer,64,0
630,getelementptr,operand,int,64,1
631,load,int,int,64,-1
632,load,pointer,pointer,64,0
633,inttoptr,pointer,pointer,64,-1
634,inttoptr,operand,int,64,0
635,addrspacecast,pointer,pointer,64,-1
636,addrspacecast,pointer,pointer,64,0
637,call,pointer,pointer,64,0
638,call,operand,int,32,1
639,call,operand,int,64,2
640,call,operand,int,64,3
641,call,operand,int,64,4
642,call,operand,int,64,5
643,call,operand,int,64,6
644,call,operand,int,64,7
645,call,operand,int,64,8
646,call,operand,int,64,9
647,call,pointer,pointer,64,10
648,call,int,int,32,-1
649,call,operand,int,32,0
650,call,operand,int,32,1
651,call,pointer,pointer,64,2
652,call,int,int,32,-1
653,call,operand,int,32,0
654,call,operand,int,32,1
655,call,pointer,pointer,64,2
656,call,int,int,32,-1
657,call,operand,int,32,0
658,call,pointer,pointer,64,1
659,addrspacecast,pointer,pointer,64,-1
660,addrspacecast,pointer,pointer,64,0
661,icmp,int,int,1,-1
662,icmp,operand,int,32,0
663,icmp,operand,int,32,1
664,br,operand,int,1,0
665,getelementptr,pointer,pointer,64,-1
666,getelementptr,pointer,pointer,64,0
667,getelementptr,operand,int,64,1
668,load,int,int,64,-1
669,load,pointer,pointer,64,0
670,getelementptr,pointer,pointer,64,-1
671,getelementptr,pointer,pointer,64,0
672,getelementptr,operand,int,64,1
673,load,pointer,pointer,64,-1
674,load,pointer,pointer,64,0
675,load,int,int,64,-1
676,load,pointer,pointer,64,0
677,and,int,int,64,-1
678,and,operand,int,64,0
679,and,operand,int,64,1
680,getelementptr,pointer,pointer,64,-1
681,getelementptr,pointer,pointer,64,0
682,getelementptr,operand,int,64,1
683,load,int,int,64,-1
684,load,pointer,pointer,64,0
685,cmpxchg,pointer,pointer,64,0
686,cmpxchg,operand,int,64,1
687,cmpxchg,operand,int,64,2
688,extractvalue,int,int,1,-1
689,extractvalue,int,int,64,-1
690,br,operand,int,1,0
691,phi,int,int,64,-1
692,phi,operand,int,64,0
693,phi,operand,int,64,1
694,call,operand,int,32,0
695,call,pointer,pointer,64,1
696,load,pointer,pointer,64,-1
697,load,pointer,pointer,64,0
698,load,int,int,64,-1
699,load,pointer,pointer,64,0
700,and,int,int,64,-1
701,and,operand,int,64,0
702,and,operand,int,64,1
703,getelementptr,pointer,pointer,64,-1
704,getelementptr,pointer,pointer,64,0
705,getelementptr,operand,int,64,1
706,load,int,int,64,-1
707,load,pointer,pointer,64,0
708,cmpxchg,pointer,pointer,64,0
709,cmpxchg,operand,int,64,1
710,cmpxchg,operand,int,64,2
711,extractvalue,int,int,1,-1
712,extractvalue,int,int,64,-1
713,br,operand,int,1,0
714,phi,int,int,64,-1
715,phi,operand,int,64,0
716,phi,operand,int,64,1
717,phi,operand,int,64,2
718,trunc,int,int,32,-1
719,trunc,operand,int,64,0
720,lshr,int,int,64,-1
721,lshr,operand,int,64,0
722,lshr,operand,int,64,1
723,trunc,int,int,32,-1
724,trunc,operand,int,64,0
