site_id,opcode,site_class,type_kind,bitwidth,operand_index
2106,phi,operand,int,64,2
2107,icmp,int,int,1,-1
2108,icmp,operand,int,32,0
2109,icmp,operand,int,32,1
2110,br,operand,int,1,0
2111,icmp,int,int,1,-1
2112,icmp,operand,int,32,0
2113,icmp,operand,int,32,1
2114,br,operand,int,1,0
2115,load,int,int,8,-1
2116,load,pointer,pointer,64,0
2117,zext,int,int,64,-1
2118,zext,operand,int,8,0
2119,getelementptr,pointer,pointer,64,-1
2120,getelementptr,pointer,pointer,64,0
2121,getelementptr,operand,int,64,1
2122,load,int,int,8,-1
2123,load,pointer,pointer,64,0
2124,zext,int,int,64,-1
2125,zext,operand,int,8,0
2126,shl,int,int,64,-1
2127,shl,operand,int,64,0
2128,shl,operand,int,64,1
2129,or,int,int,64,-1
2130,or,operand,int,64,0
2131,or,operand,int,64,1
2132,getelementptr,pointer,pointer,64,-1
2133,getelementptr,pointer,pointer,64,0
2134,getelementptr,operand,int,64,1
2135,load,int,int,8,-1
2136,load,pointer,pointer,64,0
2137,zext,int,int,64,-1
2138,zext,operand,int,8,0
2139,shl,int,int,64,-1
2140,shl,operand,int,64,0
2141,shl,operand,int,64,1
2142,or,int,int,64,-1
2143,or,operand,int,64,0
2144,or,operand,int,64,1
2145,getelementptr,pointer,pointer,64,-1
2146,getelementptr,pointer,pointer,64,0
2147,getelementptr,operand,int,64,1
2148,load,int,int,8,-1
2149,load,pointer,pointer,64,0
2150,zext,int,int,64,-1
2151,zext,operand,int,8,0
2152,shl,int,int,64,-1
2153,shl,operand,int,64,0
2154,shl,operand,int,64,1
2155,or,int,int,64,-1
2156,or,operand,int,64,0
2157,or,operand,int,64,1
2158,getelementptr,pointer,pointer,64,-1
2159,getelementptr,pointer,pointer,64,0
2160,getelementptr,operand,int,64,1
2161,load,int,int,8,-1
2162,load,pointer,pointer,64,0
2163,zext,int,int,64,-1
2164,zext,operand,int,8,0
2165,shl,int,int,64,-1
2166,shl,operand,int,64,0
2167,shl,operand,int,64,1
2168,or,int,int,64,-1
2169,or,operand,int,64,0
2170,or,operand,int,64,1
2171,getelementptr,pointer,pointer,64,-1
2172,getelementptr,pointer,pointer,64,0
2173,getelementptr,operand,int,64,1
2174,load,int,int,8,-1
2175,load,pointer,pointer,64,0
2176,zext,int,int,64,-1
2177,zext,operand,int,8,0
2178,shl,int,int,64,-1
2179,shl,operand,int,64,0
2180,shl,operand,int,64,1
2181,or,int,int,64,-1
2182,or,operand,int,64,0
2183,or,operand,int,64,1
2184,getelementptr,pointer,pointer,64,-1
2185,getelementptr,pointer,pointer,64,0
2186,getelementptr,operand,int,64,1
2187,load,int,int,8,-1
2188,load,pointer,pointer,64,0
2189,zext,int,int,64,-1
2190,zext,operand,int,8,0
2191,shl,int,int,64,-1
2192,shl,operand,int,64,0
2193,shl,operand,int,64,1
2194,or,int,int,64,-1
2195,or,operand,int,64,0
2196,or,operand,int,64,1
2197,getelementptr,pointer,pointer,64,-1
2198,getelementptr,pointer,pointer,64,0
2199,getelementptr,operand,int,64,1
2200,load,int,int,8,-1
2201,load,pointer,pointer,64,0
2202,zext,int,int,64,-1
2203,zext,operand,int,8,0
2204,shl,int,int,64,-1
2205,shl,operand,int,64,0
2206,shl,operand,int,64,1
2207,or,int,int,64,-1
2208,or,operand,int,64,0
2209,or,operand,int,64,1
2210,add,int,int,32,-1
2211,add,operand,int,32,0
2212,add,operand,int,32,1
2213,getelementptr,pointer,pointer,64,-1
2214,getelementptr,pointer,pointer,64,0
2215,getelementptr,operand,int,64,1
2216,phi,int,int,32,-1
2217,phi,operand,int,32,0
2218,phi,operand,int,32,1
2219,phi,int,int,64,-1
2220,phi,operand,int,64,0
2221,phi,operand,int,64,1
2222,zext,int,int,64,-1
2223,zext,operand,int,32,0
2224,getelementptr,pointer,pointer,64,-1
2225,getelementptr,pointer,pointer,64,0
2226,getelementptr,operand,int,64,1
2227,load,int,int,8,-1
2228,load,pointer,pointer,64,0
2229,zext,int,int,64,-1
2230,zext,operand,int,8,0
2231,shl,int,int,32,-1
2232,shl,operand,int,32,0
2233,shl,operand,int,32,1
2234,zext,int,int,64,-1
2235,zext,operand,int,32,0
2236,shl,int,int,64,-1
2237,shl,operand,int,64,0
2238,shl,operand,int,64,1
2239,or,int,int,64,-1
2240,or,operand,int,64,0
2241,or,operand,int,64,1
2242,add,int,int,32,-1
2243,add,operand,int,32,0
2244,add,operand,int,32,1
2245,icmp,int,int,1,-1
2246,icmp,operand,int,32,0
2247,icmp,operand,int,32,1
2248,br,operand,int,1,0
2249,phi,pointer,pointer,64,-1
2250,phi,pointer,pointer,64,0
2251,phi,pointer,pointer,64,1
2252,phi,pointer,pointer,64,2
2253,phi,int,int,32,-1
2254,phi,operand,int,32,0
2255,phi,operand,int,32,1
2256,phi,operand,int,32,2
2257,phi,int,int,64,-1
2258,phi,operand,int,64,0
2259,phi,operand,int,64,1
2260,phi,operand,int,64,2
2261,icmp,int,int,1,-1
2262,icmp,operand,int,32,0
2263,icmp,operand,int,32,1
2264,br,operand,int,1,0
2265,icmp,int,int,1,-1
2266,icmp,operand,int,32,0
2267,icmp,operand,int,32,1
2268,br,operand,int,1,0
2269,load,int,int,8,-1
2270,load,pointer,pointer,64,0
2271,zext,int,int,64,-1
2272,zext,operand,int,8,0
2273,getelementptr,pointer,pointer,64,-1
2274,getelementptr,pointer,pointer,64,0
2275,getelementptr,operand,int,64,1
2276,load,int,int,8,-1
2277,load,pointer,pointer,64,0
2278,zext,int,int,64,-1
2279,zext,operand,int,8,0
2280,shl,int,int,64,-1
2281,shl,operand,int,64,0
2282,shl,operand,int,64,1
2283,or,int,int,64,-1
2284,or,operand,int,64,0
2285,or,operand,int,64,1
2286,getelementptr,pointer,pointer,64,-1
2287,getelementptr,pointer,pointer,64,0
2288,getelementptr,operand,int,64,1
2289,load,int,int,8,-1
2290,load,pointer,pointer,64,0
2291,zext,int,int,64,-1
2292,zext,operand,int,8,0
2293,shl,int,int,64,-1
2294,shl,operand,int,64,0
2295,shl,operand,int,64,1
2296,or,int,int,64,-1
2297,or,operand,int,64,0
2298,or,operand,int,64,1
2299,getelementptr,pointer,pointer,64,-1
2300,getelementptr,pointer,pointer,64,0
2301,getelementptr,operand,int,64,1
2302,load,int,int,8,-1
2303,load,pointer,pointer,64,0
2304,zext,int,int,64,-1
2305,zext,operand,int,8,0
2306,shl,int,int,64,-1
2307,shl,operand,int,64,0
2308,shl,operand,int,64,1
2309,or,int,int,64,-1
2310,or,operand,int,64,0
2311,or,operand,int,64,1
2312,getelementptr,pointer,pointer,64,-1
2313,getelementptr,pointer,pointer,64,0
2314,getelementptr,operand,int,64,1
2315,load,int,int,8,-1
2316,load,pointer,pointer,64,0
2317,zext,int,int,64,-1
2318,zext,operand,int,8,0
2319,shl,int,int,64,-1
2320,shl,operand,int,64,0
2321,shl,operand,int,64,1
2322,or,int,int,64,-1
2323,or,operand,int,64,0
2324,or,operand,int,64,1
2325,getelementptr,pointer,pointer,64,-1
2326,getelementptr,pointer,pointer,64,0
2327,getelementptr,operand,int,64,1
2328,load,int,int,8,-1
2329,load,pointer,pointer,64,0
2330,zext,int,int,64,-1
2331,zext,operand,int,8,0
2332,shl,int,int,64,-1
2333,shl,operand,int,64,0
2334,shl,operand,int,64,1
2335,or,int,int,64,-1
2336,or,operand,int,64,0
2337,or,operand,int,64,1
2338,getelementptr,pointer,pointer,64,-1
