bench,category,source_path,copied_path,rows,header,sha256,regenerated
entropy,normalized_sycl_results,HeCBench/results/llvm17_inject/entropy-sycl/normalized_results_20260330a.csv,divergence_cases/original_campaign/intel/entropy/normalized_results_20260330a.csv,56109,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",3d23d90acb77f7a5fe397bfa2dad9c2e212485abcbb9b092c4f55d52058e721b,false
entropy,normalized_sycl_results,HeCBench/results/llvm17_inject/entropy-sycl/normalized_results_20260330d.csv,divergence_cases/original_campaign/intel/entropy/normalized_results_20260330d.csv,56109,"site_id,bit_index,raw_result,normalized_result,exit_code,dump_present,failure_kind,failure_signal,site_class,operand_index,opcode,type_kind,bitwidth,function,source_file,source_line,source_column,signature_ordinal,semantic_key,phase,has_out,has_err,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_size_bytes",7be20a17589587a912938fdf3b050f407299b362f815606b971f997c69bfdb2c,false
entropy,site_inventory,HeCBench/results/llvm17_inject/entropy-sycl/sites.csv,divergence_cases/original_campaign/intel/entropy/sites.csv,281,"site_id,opcode,type_kind,bitwidth,operand_index,function",e389649e6329142e3c5db24d97beb5361d42b08c49e639c5bfce7519b2dddfa6,false
entropy,site_inventory,HeCBench/results/llvm17_inject/entropy-sycl/sites_metadata.csv,divergence_cases/original_campaign/intel/entropy/sites_metadata.csv,281,"site_id,site_class,opcode,type_kind,bitwidth,operand_index,function,source_file,source_line,source_column,signature_ordinal,semantic_key",239feb49c5bab14bf8c8f8cf59146f26bc885eed3b2b32ab723317abeccb52cb,false
entropy,benchmark_local_summary,HeCBench/results/llvm17_inject/entropy/float/summary.csv,divergence_cases/original_campaign/intel/entropy/summary_float.csv,5693,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",a3daaee26d6ef26444a2dd34a63a59e5450f60792328a3854ac89000d1291417,false
entropy,benchmark_local_summary,HeCBench/results/llvm17_inject/entropy/operand/summary.csv,divergence_cases/original_campaign/intel/entropy/summary_operand.csv,5021,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",ab6cb990a00714852db5a417f4f2d7d564e2f3cf6bc92241619c40485c21462f,false
entropy,benchmark_local_summary,HeCBench/results/llvm17_inject/entropy/pointer/summary.csv,divergence_cases/original_campaign/intel/entropy/summary_pointer.csv,10432,"site_id,bit_index,result,taxonomy,exit_code,failure_kind,failure_signal,stdout,stderr,dump,metric_abs_max,metric_mean_abs,metric_rmse,metric_max_rel,metric_mean_rel,metric_p95_abs,metric_p99_abs,metric_num_bad,metric_frac_bad,metric_max_ulp,metric_mean_ulp,metric_ham_bits,metric_ham_bytes,metric_size_bytes",358effc47a4ed2463026c737067bc2fb07274ab1b486b297982e95e63a15a3d7,false
entropy,worklist,HeCBench/results/llvm17_inject/entropy-sycl/worklist.csv,divergence_cases/original_campaign/intel/entropy/worklist.csv,56109,"index,site_id,bit_index,bitwidth,type_kind,opcode,site_class,operand_index",9923230ebf5a36d633b6178bbd8966d1bffa953e1c76e3e2d744c962a10eba1a,false
jacobi,normalized_sycl_results,HeCBench/results/llvm17_inject/jacobi-sycl/normalized_results.csv,divergence_cases/original_campaign/intel/jacobi/normalized_results.csv,65891,"site_id,bit_index,raw_result,normalized_result,has_out,has_err",3132b3eb929664710c8863295423120fcbe39e9019796759eac1740cef8e2fe0,false
jacobi,normalized_sycl_results,HeCBench/results/llvm17_inject/jacobi-sycl/normalized_results_20260315a.csv,divergence_cases/original_campaign/intel/jacobi/normalized_results_20260315a.csv,65891,"site_id,bit_index,raw_result,normalized_result,has_out,has_err",3132b3eb929664710c8863295423120fcbe39e9019796759eac1740cef8e2fe0,false
